,Neighbourhood,ADMIN_LEVE,geometry,Lon,Lat
69,Halmierdő,10,POINT (19.18584835108637 47.42067122295234),19.18584835108637,47.42067122295234
70,Liptáktelep,10,POINT (19.1618767697452 47.44480081442584),19.161876769745195,47.44480081442584
71,Havanna-lakótelep,10,POINT (19.16664149979297 47.43905912449895),19.16664149979297,47.43905912449895
72,Lónyaytelep,10,POINT (19.18107793903506 47.44916650955144),19.18107793903506,47.44916650955144
73,Rendessytelep,10,POINT (19.16522995391161 47.45192642774973),19.165229953911606,47.451926427749726
74,Lakatos-lakótelep,10,POINT (19.17220192222524 47.45352404859131),19.172201922225245,47.45352404859131
75,Erzsébettelep,10,POINT (19.18180347576418 47.45956526464452),19.18180347576418,47.459565264644525
76,Bókaytelep,10,POINT (19.18067765562516 47.43882177193815),19.18067765562516,47.43882177193815
77,Miklóstelep,10,POINT (19.19381866241477 47.44581443064329),19.19381866241477,47.44581443064329
78,Bélatelep,10,POINT (19.19725312235651 47.4576955438367),19.197253122356514,47.4576955438367
79,Szent Imre kertváros,10,POINT (19.20598541609895 47.42740320887867),19.205985416098947,47.427403208878665
80,Ganzkertváros,10,POINT (19.21840174247271 47.42085663758048),19.218401742472707,47.420856637580485
81,Szemeretelep,10,POINT (19.20934015358098 47.43768192590967),19.209340153580982,47.43768192590967
82,Ganztelep,10,POINT (19.22749988154762 47.42949418279886),19.22749988154762,47.429494182798855
83,Ferihegy,10,POINT (19.23407151080135 47.44007362263363),19.234071510801353,47.440073622633626
84,Rákoshegy,10,POINT (19.24842477786489 47.45818561915337),19.248424777864887,47.45818561915337
85,Madárhegy,10,POINT (18.98810242068787 47.46770083978016),18.98810242068787,47.46770083978016
86,Hosszúrét,10,POINT (18.99715721273745 47.46601506250993),18.997157212737452,47.46601506250993
87,Gazdagrét,10,POINT (19.00104301871188 47.46861634738167),19.00104301871188,47.46861634738167
88,Magasút,10,POINT (18.98541794766705 47.48078621709538),18.98541794766705,47.48078621709538
89,Sasad,10,POINT (19.0058121483677 47.47462274314138),19.005812148367696,47.47462274314138
90,Őrmező,10,POINT (19.01547497540162 47.46078356642463),19.015474975401624,47.46078356642463
91,Sashegy,10,POINT (19.01880237383127 47.48096125961082),19.018802373831274,47.480961259610815
92,Farkasvölgy,10,POINT (18.98936256821572 47.48409498438557),18.989362568215725,47.48409498438557
93,Farkasrét,10,POINT (19.00060392667009 47.48465547431834),19.000603926670088,47.484655474318345
94,Mártonhegy,10,POINT (19.0015173829155 47.49025337969083),19.001517382915498,47.490253379690834
95,Istenhegy,10,POINT (18.998612322442 47.50402931193995),18.998612322441996,47.504029311939945
96,Németvölgy,10,POINT (19.01784260509421 47.48978393777972),19.01784260509421,47.48978393777972
97,Orbánhegy,10,POINT (19.0054862044927 47.49629272386269),19.005486204492698,47.49629272386269
98,Kissvábhegy,10,POINT (19.01320655875554 47.50227230299771),19.013206558755538,47.50227230299771
99,Krisztinaváros,10,POINT (19.02580487969081 47.49939600552575),19.02580487969081,47.49939600552575
100,Kelenföld,10,POINT (19.0404651097776 47.46367099335904),19.040465109777596,47.46367099335904
101,Szentimreváros,10,POINT (19.04024960609047 47.4793845423257),19.040249606090473,47.4793845423257
102,Nádorkert,10,POINT (19.05614217092981 47.46746092705588),19.056142170929814,47.46746092705588
103,Infopark,10,POINT (19.05980197898958 47.46998828373822),19.059801978989576,47.46998828373822
104,Lágymányos,10,POINT (19.05662240637358 47.47561826134763),19.056622406373577,47.475618261347634
